category_list,status,country_code,funding_rounds,founded_year,success,startup_age,primary_industry
Unknown,operating,KOR,1.0,2013.0,0,13,Unknown
|E-Commerce|,operating,USA,1.0,2010.0,0,16,
|Software|,closed,USA,1.0,2009.0,0,17,
|Blogging Platforms|Curated Web|,operating,CAN,1.0,2013.0,0,13,
|Software|,operating,ISR,1.0,2007.0,0,19,
|Social Commerce|Enterprise Software|Social Media|Software|,operating,CAN,1.0,2013.0,0,13,
|Travel|Social Network Media|Information Services|,operating,,1.0,2012.0,0,14,
|Apps|Mobile|,operating,USA,2.0,2011.0,0,15,
|Twitter Applications|Productivity Software|Web Development|Sales and Marketing|Facebook Applications|Social Media|,operating,ARG,2.0,2011.0,0,15,
|News|,closed,USA,1.0,2010.0,0,16,
|Social Media|,operating,,1.0,2012.0,0,14,
|Enterprise Software|,closed,,1.0,2010.0,0,16,
|Networking|Blogging Platforms|Curated Web|,acquired,USA,4.0,2008.0,1,18,
|Brand Marketing|Curated Web|,operating,SWE,1.0,2012.0,0,14,
|Curated Web|,acquired,USA,1.0,1999.0,1,27,
|Messaging|,acquired,USA,3.0,2009.0,1,17,
|Finance|Software|,operating,USA,2.0,2012.0,0,14,
|E-Commerce|Local|Transportation|Logistics|Shipping|Mobile|,operating,USA,5.0,2012.0,0,14,
|Restaurants|Apps|Mobile|,operating,,1.0,2013.0,0,13,
|Messaging|,acquired,USA,2.0,2003.0,1,23,
|Test and Measurement|Social Media|Analytics|,acquired,CAN,1.0,2007.0,1,19,
|Analytics|,operating,USA,2.0,2012.0,0,14,
|Language Learning|Software|,operating,CZE,1.0,2010.0,0,16,
|Social Media|,operating,KOR,1.0,2012.0,0,14,
|Restaurants|Hospitality|,operating,USA,1.0,1996.0,0,30,
|Semiconductors|,operating,CAN,1.0,2000.0,0,26,
|Education|Information Services|,operating,ARE,1.0,2005.0,0,21,
|Apps|E-Commerce|Mobile|,acquired,ISR,1.0,2012.0,1,14,
Unknown,operating,,1.0,2012.0,0,14,Unknown
|E-Commerce|,operating,GBR,1.0,2011.0,0,15,
|Social Network Media|Photo Sharing|Mobile|,operating,USA,1.0,2013.0,0,13,
|Reviews and Recommendations|Web Tools|Local|Advertising|,closed,USA,1.0,2007.0,0,19,
|Sporting Goods|,operating,USA,1.0,2002.0,0,24,
|Health Care Information Technology|mHealth|Health and Wellness|,operating,GBR,1.0,2011.0,0,15,
|Coupons|Loyalty Programs|Retail Technology|Point of Sale|Payments|Mobile Payments|Mobile Commerce|E-Commerce|,operating,GBR,3.0,2007.0,0,19,
|Hunting Industry|E-Commerce|Marketplaces|,operating,USA,1.0,2013.0,0,13,
|Software|,operating,GBR,1.0,1983.0,0,43,
|Hardware + Software|,closed,USA,1.0,2004.0,0,22,
|Enterprise Software|Energy|Software|,acquired,USA,1.0,1983.0,1,43,
|Data Center Automation|,operating,USA,8.0,2007.0,0,19,
|Sports|,operating,SWE,1.0,2001.0,0,25,
|Manufacturing|Energy Storage|Industrial Automation|Electronics|,operating,,1.0,1987.0,0,39,
|Clean Technology|,operating,USA,1.0,1997.0,0,29,
|Internet Marketing|Brand Marketing|Search Marketing|Legal|,operating,USA,1.0,2012.0,0,14,
|E-Commerce|Specialty Foods|,operating,USA,1.0,2011.0,0,15,
Unknown,operating,USA,1.0,2014.0,0,12,Unknown
|Curated Web|,closed,,1.0,2006.0,0,20,
|Enterprise Software|,operating,IND,3.0,2012.0,0,14,
|Startups|Price Comparison|Internet|Clean Energy|Portals|Energy|Clean Technology|,acquired,USA,3.0,2009.0,1,17,
|Mobile|,operating,NZL,2.0,2006.0,0,20,
|Clean Technology|,operating,SWE,2.0,2008.0,0,18,
|Wireless|Cloud Management|Cloud Computing|Networking|Software|,acquired,USA,2.0,2008.0,1,18,
|Industrial Automation|Intelligent Systems|VoIP|,acquired,USA,6.0,1994.0,1,32,
|Facebook Applications|Business Services|Social Media Marketing|Services|Sales and Marketing|Social Media|Consulting|,acquired,USA,3.0,1999.0,1,27,
|Software|,operating,USA,1.0,2008.0,0,18,
|Web Hosting|,operating,USA,2.0,1996.0,0,30,
|Hardware + Software|,operating,GBR,1.0,2010.0,0,16,
|Clean Technology|,operating,USA,5.0,2007.0,0,19,
|Apps|Email|Messaging|,operating,USA,3.0,2010.0,0,16,
|Industrial Energy Efficiency|Energy|Clean Technology|,operating,USA,6.0,1994.0,0,32,
|Advertising|,operating,USA,2.0,2012.0,0,14,
|Small and Medium Businesses|Network Security|B2B|Social Media|,operating,USA,1.0,2011.0,0,15,
|Information Services|,operating,USA,2.0,2011.0,0,15,
|Licensing|Wireless|Mobile|,operating,,1.0,2007.0,0,19,
|Software|,operating,USA,1.0,2012.0,0,14,
Unknown,operating,USA,1.0,1996.0,0,30,Unknown
|Hardware + Software|,operating,GBR,1.0,2004.0,0,22,
|Advertising|,operating,USA,1.0,2010.0,0,16,
|Sports|,operating,CAN,1.0,2012.0,0,14,
|Hardware + Software|,operating,USA,1.0,2009.0,0,17,
|Search|,acquired,USA,3.0,2006.0,1,20,
|Social Media|Consumer Electronics|Android|iOS|Mobile|,operating,USA,1.0,2013.0,0,13,
Unknown,acquired,USA,1.0,1998.0,1,28,Unknown
|Clean Technology|,operating,USA,1.0,1994.0,0,32,
|Software|,operating,USA,1.0,2007.0,0,19,
|Games|,operating,,1.0,2011.0,0,15,
|Hardware + Software|,operating,USA,5.0,2006.0,0,20,
|Renewable Tech|,operating,GBR,1.0,2012.0,0,14,
|Health Care|,operating,USA,5.0,2002.0,0,24,
|Mobile|,operating,USA,1.0,1985.0,0,41,
|Hardware + Software|,operating,USA,4.0,2006.0,0,20,
|Energy|,operating,USA,1.0,2010.0,0,16,
|MicroBlogging|Social Media|Curated Web|,acquired,USA,1.0,2007.0,1,19,
|Promotional|Video|Graphics|Presentations|Software|,operating,GBR,2.0,2011.0,0,15,
|Social Media|Entertainment|Games|,operating,IRL,2.0,2012.0,0,14,
|Social Business|Human Resources|Enterprise Software|,operating,USA,1.0,2012.0,0,14,
|Biotechnology|,operating,FRA,2.0,2009.0,0,17,
|Mobile|,acquired,CAN,2.0,2007.0,1,19,
|Finance|,operating,CHN,4.0,2007.0,0,19,
|Clean Technology|,operating,USA,1.0,1983.0,0,43,
|Hardware + Software|,operating,USA,1.0,1991.0,0,35,
|Mobile|,operating,CAN,1.0,2012.0,0,14,
|Photography|,acquired,CHN,4.0,2005.0,1,21,
|Photography|,acquired,CHN,5.0,2004.0,1,22,
|E-Commerce|,operating,USA,1.0,2011.0,0,15,
|Biotechnology|,closed,USA,1.0,2010.0,0,16,
|Physicians|Electronic Health Records|Health Care|Health and Wellness|,operating,USA,12.0,2005.0,0,21,
|Accounting|SaaS|Analytics|,operating,AUS,2.0,2011.0,0,15,
|Task Management|Online Scheduling|Cloud Computing|Enterprise Software|,operating,,2.0,2005.0,0,21,
|Health Care|Marketplaces|SaaS|Software|,operating,IND,2.0,2008.0,0,18,
|Biotechnology|,operating,USA,1.0,2005.0,0,21,
|Software|,operating,USA,2.0,2011.0,0,15,
|Mobile|,operating,,1.0,2007.0,0,19,
|Security|Software|,operating,USA,1.0,2014.0,0,12,
|Software|,operating,USA,2.0,2013.0,0,13,
|Finance|,operating,USA,1.0,2012.0,0,14,
|Software|,operating,USA,1.0,2007.0,0,19,
|Health Care|,operating,FRA,1.0,2003.0,0,23,
|Consulting|,operating,USA,1.0,2002.0,0,24,
|Finance|,operating,FRA,3.0,2009.0,0,17,
|Analytics|Big Data|Tech Field Support|Customer Service|Software|,operating,USA,2.0,2012.0,0,14,
|Mobile|,operating,USA,3.0,2012.0,0,14,
|Health and Wellness|,operating,USA,2.0,2011.0,0,15,
|Software|,operating,USA,1.0,2011.0,0,15,
|Consulting|,operating,USA,1.0,2006.0,0,20,
|Biotechnology|,operating,USA,2.0,2011.0,0,15,
|Consulting|,operating,USA,1.0,2010.0,0,16,
|Biotechnology|,operating,USA,1.0,2008.0,0,18,
|Public Transportation|,operating,USA,6.0,2006.0,0,20,
|Biotechnology|,operating,USA,1.0,2012.0,0,14,
|Biotechnology|,acquired,USA,3.0,2010.0,1,16,
|Health Care|,operating,USA,1.0,2011.0,0,15,
|Sports|,operating,USA,1.0,2014.0,0,12,
|Advertising|,operating,USA,2.0,2007.0,0,19,
|Hardware + Software|,operating,USA,1.0,2011.0,0,15,
|Finance|,operating,USA,2.0,2011.0,0,15,
|Advertising Platforms|Media|Advertising|,acquired,USA,4.0,2005.0,1,21,
|Drones|Databases|,operating,USA,2.0,2011.0,0,15,
|Banking|,operating,,1.0,2009.0,0,17,
|Business Intelligence|Software|,operating,GBR,1.0,2002.0,0,24,
|Software|,acquired,USA,2.0,2001.0,1,25,
|Finance|Developer APIs|Services|Analytics|,acquired,USA,4.0,2010.0,1,16,
|Clean Technology|,operating,USA,4.0,2008.0,0,18,
|Consulting|,operating,USA,2.0,1999.0,0,27,
|Clean Technology|,operating,SWE,1.0,2006.0,0,20,
|Big Data Analytics|,operating,FRA,1.0,2013.0,0,13,
|Social Media|,operating,,1.0,2007.0,0,19,
|Advertising|,closed,USA,1.0,2007.0,0,19,
|Developer Tools|Open Source|Big Data|Machine Learning|Analytics|,operating,,2.0,2013.0,0,13,
|Biotechnology|,operating,USA,3.0,2006.0,0,20,
|Big Data|Machine Learning|Business Intelligence|Developer APIs|Analytics|,operating,USA,1.0,2011.0,0,15,
|Reviews and Recommendations|Machine Learning|Artificial Intelligence|Big Data|Analytics|,operating,MYS,1.0,2013.0,0,13,
|Mobile Commerce|,operating,USA,1.0,2013.0,0,13,
|Biotechnology|,operating,USA,1.0,2010.0,0,16,
|Finance|Entertainment|Social Games|Games|,operating,USA,1.0,2010.0,0,16,
|Artificial Intelligence|Big Data|Recruiting|Analytics|,operating,USA,1.0,2014.0,0,12,
|Health and Wellness|,operating,USA,2.0,2012.0,0,14,
|Predictive Analytics|SaaS|Big Data Analytics|Deep Information Technology|Law Enforcement|Analytics|,operating,USA,2.0,2012.0,0,14,
|Consumer Internet|Social Commerce|Women|Beauty|E-Commerce|,operating,ISR,1.0,2011.0,0,15,
|Software|,operating,USA,1.0,1999.0,0,27,
|Curated Web|,operating,USA,1.0,2009.0,0,17,
|Enterprise Software|,operating,USA,1.0,1991.0,0,35,
|Crowdfunding|E-Commerce|,operating,USA,1.0,2011.0,0,15,
Unknown,operating,,1.0,2014.0,0,12,Unknown
|Analytics|Cloud Computing|Recruiting|,operating,GBR,1.0,2013.0,0,13,
|Software|,operating,USA,2.0,2009.0,0,17,
|Health and Wellness|,operating,USA,1.0,2012.0,0,14,
Unknown,operating,USA,1.0,2001.0,0,25,Unknown
|Analytics|,operating,USA,1.0,2012.0,0,14,
|Software|,closed,DNK,1.0,1999.0,0,27,
|Analytics|,operating,USA,3.0,2011.0,0,15,
|Clean Technology|,acquired,USA,3.0,2002.0,1,24,
|Social Media|Brand Marketing|Restaurants|Mobile Payments|Point of Sale|Hospitality|Mobile|,operating,USA,2.0,2011.0,0,15,
|Mobile Payments|Apps|Restaurants|,operating,,3.0,2012.0,0,14,
|Software|Local Businesses|Computers|,operating,GBR,1.0,2014.0,0,12,
|Enterprise Software|,operating,USA,4.0,2000.0,0,26,
|Finance|,closed,USA,1.0,2011.0,0,15,
|Design|,operating,GBR,2.0,2000.0,0,26,
|Social Media|Payments|,closed,USA,1.0,2013.0,0,13,
|Networking|Social Recruiting|Curated Web|,closed,USA,1.0,2007.0,0,19,
|Education|,operating,NGA,1.0,2013.0,0,13,
|Games|,operating,USA,2.0,2010.0,0,16,
|Language Learning|Sports|Search|Education|,operating,USA,2.0,2012.0,0,14,
|Education|,operating,USA,1.0,2011.0,0,15,
|Biotechnology|,operating,USA,4.0,2008.0,0,18,
|Software|,operating,USA,1.0,2013.0,0,13,
|Health and Wellness|,operating,USA,1.0,2004.0,0,22,
Unknown,operating,USA,1.0,2012.0,0,14,Unknown
|Games|,closed,USA,1.0,2011.0,0,15,
|Networking|Enterprise Software|,operating,USA,1.0,2007.0,0,19,
|Concerts|Events|Ticketing|Crowdfunding|Curated Web|,operating,LBN,2.0,2012.0,0,14,
|Internet of Things|Data Integration|IaaS|SaaS|Mobile Enterprise|Enterprise Application|Information Security|Network Security|Unifed Communications|Analytics|Big Data|Cloud Management|Identity Management|,closed,USA,1.0,2005.0,0,21,
|Education|,operating,USA,1.0,2009.0,0,17,
|Artificial Intelligence|Computer Vision|Video on Demand|Video Streaming|Social Media|,operating,USA,3.0,2013.0,0,13,
|Education|,operating,NLD,2.0,2013.0,0,13,
|Video|Education|,operating,OMN,1.0,2013.0,0,13,
|Curated Web|,operating,USA,1.0,2003.0,0,23,
|Presentations|CRM|Salesforce Killers|,operating,,1.0,2014.0,0,12,
|Biotechnology|,operating,USA,6.0,2006.0,0,20,
|Publishing|Messaging|Collaboration|Presentations|Software|,closed,USA,1.0,2011.0,0,15,
|News|,operating,BLR,1.0,2011.0,0,15,
|Travel & Tourism|Startups|Travel|Entertainment|,operating,IND,1.0,2013.0,0,13,
|Software|,acquired,ISR,3.0,2001.0,1,25,
|Publishing|Education|,operating,USA,1.0,2012.0,0,14,
|Blogging Platforms|Web Hosting|,operating,USA,1.0,2010.0,0,16,
Unknown,operating,USA,1.0,2013.0,0,13,Unknown
|News|,closed,IND,1.0,2012.0,0,14,
|Content|Journalism|Media|News|Search|,operating,,1.0,2009.0,0,17,
|Artificial Intelligence|Curated Web|,closed,USA,1.0,2007.0,0,19,
|Local|Journalism|Advertising|News|,operating,GBR,3.0,2011.0,0,15,
|Networking|iOS|Blogging Platforms|Photography|,operating,USA,1.0,2013.0,0,13,
|Web Design|Blogging Platforms|PaaS|SaaS|Software|Web CMS|Web Hosting|,operating,GBR,1.0,2013.0,0,13,
|Blogging Platforms|Web Hosting|,operating,ROM,1.0,2009.0,0,17,
|iOS|News|Media|Apps|Advertising|Education|Web Development|iPad|Publishing|Tablets|Software|,operating,CAN,1.0,2011.0,0,15,
|SaaS|Tablets|Web Tools|Mobile|,operating,DEU,1.0,2011.0,0,15,
|Android|iOS|SaaS|Mobile|,operating,POL,2.0,2011.0,0,15,
|Curated Web|,closed,,1.0,2011.0,0,15,
|Biotechnology|,operating,USA,9.0,1978.0,0,48,
|Curated Web|,operating,MEX,2.0,2011.0,0,15,
|Open Source|Internet|E-Commerce|Software|,operating,USA,4.0,2007.0,0,19,
|Internet|Financial Services|Finance|,acquired,ITA,2.0,2007.0,1,19,
|Semiconductors|,operating,USA,2.0,2006.0,0,20,
|Messaging|,operating,USA,1.0,2004.0,0,22,
|Sales and Marketing|Creative|Internet|Printing|Business Services|Design|Services|Brand Marketing|Public Relations|,operating,USA,1.0,2012.0,0,14,
|Biotechnology|,operating,FRA,1.0,2012.0,0,14,
|Hardware + Software|,operating,,1.0,2001.0,0,25,
|Sports|,operating,USA,1.0,2005.0,0,21,
|Curated Web|,operating,CAN,1.0,2012.0,0,14,
|Discounts|Coupons|Cosmetics|Shopping|Apps|Beauty|Mobile|,operating,USA,1.0,2012.0,0,14,
|Internet|,operating,USA,1.0,2011.0,0,15,
|E-Commerce|,operating,,1.0,2012.0,0,14,
|Network Security|,operating,USA,1.0,2004.0,0,22,
|Predictive Analytics|Big Data|Software|,operating,USA,1.0,2012.0,0,14,
|Ticketing|E-Commerce|,closed,GBR,1.0,2007.0,0,19,
|Health and Wellness|,operating,USA,1.0,2007.0,0,19,
|Biotechnology|,operating,USA,1.0,2009.0,0,17,
|Mobile Health|Health Care|Health and Wellness|,operating,USA,6.0,2012.0,0,14,
|Security|,closed,USA,1.0,2002.0,0,24,
|Entertainment|Promotional|Film|Content|Content Syndication|Video|Internet|Advertising|,operating,DNK,1.0,2004.0,0,22,
|Software|,operating,USA,1.0,2002.0,0,24,
|IT and Cybersecurity|Information Technology|Data Security|Web Tools|Security|,operating,USA,3.0,2013.0,0,13,
|Biotechnology|,operating,USA,2.0,2006.0,0,20,
|Presentations|Software|,operating,USA,4.0,2009.0,0,17,
|Social Media|Facebook Applications|Advertising|,operating,ISR,1.0,2010.0,0,16,
|All Markets|Internet|E-Commerce|Facebook Applications|Startups|Systems|Wholesale|Discounts|Finance|Coupons|Advertising|,operating,,1.0,2011.0,0,15,
Unknown,operating,USA,1.0,2013.0,0,13,Unknown
Unknown,acquired,USA,1.0,1996.0,1,30,Unknown
|E-Commerce|,operating,GBR,1.0,2010.0,0,16,
|E-Commerce|Social Buying|Online Shopping|Price Comparison|Shopping|Search|,acquired,SGP,2.0,2010.0,1,16,
|Comparison Shopping|Mobile|Search|,operating,IND,1.0,2012.0,0,14,
|Sports|,closed,ESP,1.0,2011.0,0,15,
|E-Commerce|,operating,,1.0,2013.0,0,13,
|Shopping|Coupons|,operating,IND,1.0,2010.0,0,16,
|Business Services|Transportation|Ticketing|Hotels|Travel|,operating,USA,3.0,1998.0,0,28,
|Education|,operating,USA,1.0,2012.0,0,14,
|Risk Management|Clean Technology|,operating,USA,1.0,2006.0,0,20,
|Hotels|SaaS|Software|,operating,FRA,1.0,2012.0,0,14,
|Medical|,operating,USA,1.0,2013.0,0,13,
|Reviews and Recommendations|E-Commerce|,operating,NZL,3.0,2007.0,0,19,
|Curated Web|,operating,USA,3.0,2011.0,0,15,
|Price Comparison|Curated Web|,operating,,1.0,2012.0,0,14,
|Comparison Shopping|Peer-to-Peer|Curated Web|E-Commerce|,operating,USA,1.0,2013.0,0,13,
|E-Commerce|,operating,USA,1.0,2012.0,0,14,
|Local Businesses|Search|Mobile|,closed,EST,1.0,2011.0,0,15,
|Price Comparison|E-Commerce|,operating,THA,1.0,2010.0,0,16,
|Price Comparison|Business Intelligence|E-Commerce|,operating,FRA,1.0,2012.0,0,14,
|Subscription Businesses|Network Security|Freemium|Analytics|Big Data|SaaS|SEO|Digital Media|Advertising|,operating,USA,4.0,2011.0,0,15,
|Clean Technology|,operating,USA,2.0,2009.0,0,17,
|Software|,operating,SWE,1.0,2002.0,0,24,
|E-Commerce|,closed,USA,1.0,2013.0,0,13,
|Software|,operating,USA,2.0,2000.0,0,26,
|Curated Web|,operating,USA,4.0,2009.0,0,17,
|Web Hosting|,operating,USA,2.0,2013.0,0,13,
|Real Estate|,operating,USA,1.0,2013.0,0,13,
|Marketplaces|Ad Targeting|Video|Mobile|Advertising|,operating,FRA,2.0,2007.0,0,19,
|Health Care|,operating,USA,1.0,2009.0,0,17,
|Enterprises|Manufacturing|,operating,USA,3.0,1997.0,0,29,
|Venture Capital|Finance|,operating,USA,1.0,2004.0,0,22,
|Games|,operating,IND,1.0,1997.0,0,29,
|Software|,operating,IND,1.0,2008.0,0,18,
|Biotechnology|,operating,USA,3.0,2010.0,0,16,
|Health and Wellness|,operating,USA,1.0,1996.0,0,30,
|Advertising|,operating,CAN,1.0,2014.0,0,12,
|Photo Sharing|Social Media|Mobile|,operating,JPN,1.0,2010.0,0,16,
|Real Estate|,operating,,1.0,1977.0,0,49,
|News|Tracking|Opinions|Social Media|Analytics|,operating,USA,3.0,2011.0,0,15,
|Biotechnology|,operating,USA,2.0,2004.0,0,22,
|Finance|,operating,USA,2.0,2003.0,0,23,
|3D|Sensors|Hardware|Hardware + Software|,acquired,ISR,3.0,2005.0,1,21,
|Biotechnology|,operating,USA,1.0,1982.0,0,44,
